NAME,FORENAME,OCCPN/STATUS,PLACE,TYPE,YEAR,FOLIO,REGISTER
BURROWE,Robert,husbandman,Uffcullin [Uffculm],,1622,85,Savile
BURY,"Ambrose, gent",,Halberton,,1626,57,Hele
BUSHTON,John,husbandman,Lynton,,1628,11,Barrington
BUTSON see BROOKE,,,,,,,
BUTSON,"Sibell, widow",,Kentiesbury,,1626,117,Hele
BUTTON,"Helen, widow",,"Buckland, Hants",,1624,68,Byrde
,relict of John BUTTON,,"Mount Drake, co Devon",,,,
BYRCH,Francis,merchant,Tavistock,,1626,54,Hele
CABELL,Samuel,,Totnes,,1628,54,Barrington
CADE,Christopher,mariner,Northam,,1623,58,Swann
CADE,James the elder,merchant,Northam,,1629,41,Ridley
CADE,Thomas the younger,yeoman,Tormoham,,1623,129,Swann
CALLEY,Timothy,,"Beere, par of Seaton",,1620,44,Soame
CANDICH,Thomas,,Plymstock,,1623,121,Swann
CAPURN als CAPRON,Richard,clothier,Tiverton,,1628,83,Barrington
CAREW,"George, Lord, Baron of Clopton",Earl of Totnes,,,1629,36,Ridley
CAREW,"Sir George, Baron of Clopton",Earl of Totnes,,Sentence,1629,57,Ridley
CAREWE,"John, esquire",,Haccombe,,1626,88,Hele
CARKETT,Walter,merchant,Plymouth,,1626,79,Hele
CARKETT,Walter,,Plumouth,Sentence,1627,22,Skynner
CARPENTER,"Richard, Prof. of Divinity",,pastor of Sherwell,,1628,11,Barrington
CARSWILL,"John the elder, gent",,"of Cadhaine, Colliton [Colyton]",,1627,51,Skynner
CAREY,Valentine,,Bishop of Exeter,,1626,91,Hele
CARTER,Thomas,saylor,Braunscombe,,1627,49,Skynner
CASE,William the younger,tucker,"Dallwood, Dor",,1622,24,Savile
CATFORD,"William, gent",,Sampford Peverell,,1626,65,Hele
CATFORD,"Agnes, widow",,Sandford Parva,,1629,43,Ridely
CAULE als WHITE,William,,Topsham,nuncupative,1625,2,Clarke
CECILL,"Sir Thomas, Baron of Burghley",Earle of Exeter,,,1623,23,Swann
CHANON,"Phillipe, gent",,Talleton,,1622,104,Savile
CHANON,Thomas,,Salcombe,,1620,114,Soame
CHAPPELL,"Eleanor, widow",,Exeter (PAB says Bristol),with sentence,1621,40,Dale
CHAPPELL,"Richard, gent",,Exeter,with sentence,1621,39,Dale
CHAPPLE,Thomas,yeoman,Church Tanton,,1623,15,Swann
CHAVE,Philip,husbandman,Uplowman,,1624,70,Byrde
CHEESE,Willmet,,Lileigh [Lustleigh],,1622,21,Savile
CHECHESTER,"Sir Robert, knight of Bath",,Rawlye Pilton (par of Pilton),,1627,100,Skynner
CHILD,Edmund,mariner,Plymouth,,1625,16,Clarke
CLAPP,Elles,yeoman,Honiton,,1627,119,Skynner
CLAPP,"Florence, widow",,Yarcombe,,1628,44,Barrington
CLARK,"John, senior",,"Sanford, Crediton",sentence,1629,113,Ridley
CLEMENT,Edward the elder,merchant,Exeter,,1623,34,Swann
CLIFFE,James,yeoman,Ashcombe,,1622,53,Savile
CLOUST,John,sailor,"ship ""Paulsgrave"" Plymouth",,1623,99,Swann
,,,(wrongly numbered as 91 in Cal),,,,
COADE,William,yeoman,Clist St George,,1624,112,Byrde
COCKE,Richard,,Northam,,1627,48,Skynner
CODNOR,"Bartholomew, gent",,Iplepen,nuncupative,1625,133,Clarke
CODNOR,"John, gent",,Kingscarswill,,1626,44,Hele
COFFYN,"William, gent",,Portledge (par of Merton),,1628,2,Barrington
,,,died beyond the seas,,,,
COLE,Robert,yeoman,Morchard Bishops,,1628,64,Barrington
COLE,Thomas,,Tavistock,nuncupative,1628,99,Barrington
COLEMAN,"William, gent",,Tiverton,,1627,82,Skynner
COLLETON,Peter,merchant,Exeter,,1622,83,Savile
COLLIER,Richard,,Salcombe,,1620,114,Soame
COLLOPER,Christopjher,sailor,"Hardnes, par of Townestall",,1627,2,Skynner
COLMAN,Humpfrey,clothier,Tiverton,nuncupative,1625,124,Clarke
COLESWORTHIE,Rawling,yeoman,Rockbeare,,1629,52,Ridley
COLLYAR,Richard,yeoman,Axminster,,1627,104,Skynner
COLLIFORD,William,clothier,Ottery St Mary,,1625,52,Clarke
CONANT,Richard the younger,,East Budley,,1626,9,Hele
CONNYBY,Walter,yeoman,Crediton,,1625,54,Clarke
CONSTABLE,Roger,servt to,Tavistock,,1626,65,Hele
,,Rt Hon Earl of Bath,,,,,
COOKE,Lady Radayand,,of Dawlish,,1629,6,Ridley
,wid of William COOKE kt,,"late of Higham, co Gloucester",,,,
COOKEWORTHIE,James,merchant,"Salcombe, par. Marlborough",,1620,41,Soame
COPLESTONE,Anne,,Warleigh [nr Plymouth],,1622,35,Savile
COPLESTONE,Ann,,Worleigh,sentence,1623,12,Swann
COPP,John the elder,yeoman,Culmestock,,1625,78,Clarke
COTTELL,"Mark, esquire",,North Tawton,,1622,95,Savile
COTTON,William,,Bishop of Exeter,,1621,78,Dale
COTTY,Jane,,North Molton,,1627,105,Skynner
COULTON,John the younger,sailor,Brixham,,1628,98,Barrington
COYTE,George,,Brixham,,1629,42,Ridley
CRAFTE,Robert,miller,Thornecombe,,1621,56,Dale
CRANCH,Andrew the elder,,"Batson, par of Marlborough",,1624,37,Byrde
CROCOMBE,Nicholas,husbandman,Holcombe Rogus,,1626,78,Hele
CRODON,James,miller,Ufcolme,,1622,56,Savile
CROOKE,"Charles, gentleman",,Plymouth,,1621,46,Dale
CROSSE,"Agnes, spinster",,Cullmestocke,,1626,22,Hele
CROSSE,John the elder,joyner,Holcombe Regis,,1622,6,Savile
CUDMORE,"Zachary, gent",,Templeton,,1629,16,Ridley
CUNDUYTE,Azarius,sailor,Brixham,,1621,47,Dale
DABINOTT,John,husbandman,"Chardstock, Dor",,1625,30,Clarke
DALLINGE,Thomas,,Fremington,,1620,45,Soame
DARE,"Jane, widow",,Seaton,,1620,31,Soame
DARE,William,fuller,Tiverton,nuncupative,1624,32,Byrde
DARROCOTT,"Dorothy, widow of",,Barnstaple,,1624,72,Byrde
,John DARRACOTT,merchant,,,,,
DARRACOTT,John,merchant,Barnstaple,,1624,29,Byrde
DARRACOTT,William the elder,yeoman,Northam,,1629,108,Ridley
DAVID,"Joane, widow",,Sidmouth,,1621,41,Dale
DAVIES,"Gilbert, esquire",,Christowe,,1620,61,Soame
DAVIS,John,sailor,Brixsham,,1623,57,Swann
DAVY als WHEELER,Richard,yeoman,"Stockland, Dor",,1621,63,Dale
DAYMONTE,Ralph,yeoman,Dunckswell,,1623,43,Swann
DEACON,"Thomasine, widow",,Plymouth,,1620,64,Soame
DELBRIDGE,"John the younger, gent",,Barnstaple,,1622,68,Savile
DELBRIDGE,Joseph,woollen draper,Barnstaple,,1622,54,Savile
DERATTE,Daniel,,Plymouth,,1628,1,Barrington
(Cal says DE RADT),,,,,,,
DEVONSHIRE,"William, Earl of",,,,1626,55,Hele
DEVONSHIRE,"Rt Hon William, Earl of",,,nuncupative,,,
,,,,will & sentence,1627,72,Skynner
DEVONSHIRE,"William, Earl of",,,sentence,1629,17,Ridley
DEYMAN,Katherine,,Halberton,,1620,11,Soame
DEYMAN,Thomas,,Great Torrington,,1626,66,Hele
DOCTON,Alice,,Hartland,sentence,1622,16,Savile
DODSCOMBE,John,yeoman,Okeford [Oakford],,1628,99,Barrington
DOMETT,"Johane, widow",,"Chardstocke, Dor",,1620,90,Soame
DOWNE,Barnard,,Exeter,,1620,85,Soame
DOWNE,John,clerk,"Dallwood, Dor",,1621,108,Dale
DOWNING,Richard,yeoman,"Dallwood, Dor",,1624,39,Byrde
DRAKE,"George, esquire",,Littleham,will & sentence,1627,102,Skynner
DRAKE,"John, esquire",,Ash (Par of Musbury),,1628,38,Barrington
DRAKE,"Robert, gent",,"Daldiche, East Budleigh",,1628,108,Barrington
DRAKE,"William, gent",,Wiscombe (par of Southleigh),,1625,43,Clarke
DREWE,Elija,marriner,Paignton,,1624,117,Byrde
DUCKE,Charles,,Salcombe,,1627,48,Skynner
DUCKE,William,merchant,sometime of Totnes,,1627,119,Skynner
,,,now of Exeter,,,,
DUNCOMBE,"William, gent",,Clovelly,,1628,1,Barrinton
EALES,Edward,yeoman,Broadhemston,,1621,15,Dale
EASTEN,[no forename],marryner,Kenton,,1625,67,Clarke
ELLETT,John,,Brixham,,1621,47,Dale
ELLIOTT,Richard,yeoman,Dunsford,will & sentence,1626,153,Hele
ELLIS,Robert,mariner,Northam,,1629,108,Ridley
ELLYS als SALTER,William the elder,yeoman,Uffculme,,1623,51,Swann
ELSDON,William,mariner,Topsham,,1621,44,Dale
ELWILL,John,shipmaster &,Stonehouse,,1624,73,Byrde
,,mariner,"ship ""George"" of Plymouth",,,,
ELWORTHY,George,yeoman,Thelbridge,,1623,22,Swann
ENDLE,Christopher,mariner,Tormoham,,1620,38,Soame
ENGLISH,"Richard, gent",,Collompton,,1624,4,Byrde
EVENS,William,husbandman,Churchtaunton,,1626,110,Hele
EWSTICE,Thomas,yeoman,St Budox [St Budeaux],,1620,59,Soame
EYMES,Margaret widow,,Northmolton,,1628,10,Barrington
FAYRE,John,sailor,Pilston (Pilton),,1623,79,Swann
FERRETT,John,husbandman,Chittlehampton,,1624,97,Byrde
FLEMING,Nicholas,marriner,Westleigh [tithing - Burlescombe],,1623,31,Swann
FLEY,John,,Buckerell,,1622,59,Savile
FOOTE,John,,Buckland Monachorum,,1624,39,Byrde
FORTESCUE,Mary,,Filley [Filleigh],,1629,18,Ridley
FOWNES,John,merchant,Plymouth,,1625,15,Clarke
FOYLE,Simon,,"Columbs (Columb, Johns)",,1624,64,Byrde
FRAINE,William,,Swymbridge,,1623,111,Swann
FRANKLYN,John,husbandman,Braunton,nuncupative,1628,37,Barrington
FRENCH,Edward,mariner,Barnstaple,,1626,78,Hele
FRENCH,Richard,,Northam,,1623,58,Swann
FROUDE,Gregory,,"Rocombe, par of",,1624,70,Byrde
,,,Combintinghead,,,,
FURSE,"John, gent",,"Sampson, Kings Nympton",,1628,107,Barrington
FUTTS,John,,Horwood,,1623,25,Swann
GARLAND,Agnes widow,,Swymbridge,,1622,12,Savile
GARLAND,Peter,shipwright,Northam,,1623,112,Swann
GAWDE,John,merchant,Plymouth,,1628,92,Barrington
GAY,Richard,chirugion,Collompton,,1629,92,Ridely
GAYDON,John,clerk,vicar of Withrudge,,1621,15,Dale
GEARD,Henry the younger,yeoman,Cullompton,,1622,41,Savile
GEFFREY,Edward,merchant,Stonehouse,,1626,48,Hele
GEFFRY,Thomas,yeoman,Monck Okehampton,,1625,52,Clarke
GIFFARD,"John, esquire",,Brightleigh,,1623,45,Swann
,,,in par of Chittle Hampton,,,,
GIFFORD,George,,Tiverton,,1624,48,Byrde
GIFFORD,"John, esquire",,"Hallsbury, par of Parkeham",,1621,81,Dale
GILES see GYLES,,,,,,,
GIST,Simon,,Biddiford,,1627,10,Skynner
GLASSE,Thomas,mercer,Bampton,,1626,22,Hele
GOCHE,Barnabe,Doctor of Civil Laws,Exeter,,1626,71,Hele
GOODRIDGE,Joane,,Kentisbeare,sentence,1625,62,Clarke
GOODRIDGE,Walter,,Totnes,,1626,119,Hele
GOULD,Edward,yeoman,Staverton,,1628,37,Barrington
GOVE,John,,Woodberry (PAB says Woodbury),,1627,83,Skynner
GREENSLADE,Elizabeth widow,,Brampton,,1623,118,Swann
GREENWOOD,George,,Torington Magna,,1629,52,Ridley
GUEEN,Richard,,"Oreston, Plimpstocke",,1626,53,Hele
GUPWILL,John,merchant,Exeter,,1625,141,Clarke
GUYE,John,sailor,"in the ""Moone""; North Buckland",,1624,109,Byrde
GYLES,Robett,mearchante,Dartmouth,,1625,79,Clarke
HACKHAM,Tristram,,Membury,,1628,67,Barrington
HAGLEY,Richard,clothier,Tiverton,,1627,51,Skynner
HALLE,Edward,yeoman,Woodbury,,1626,9,Hele
HAM,"John, gent",,Colliton [Colyton],,1622,111,Savile
HAMLYN,Roger,yeoman,Alphington,,1628,82,Barrington
HAMMANT,Edward,husbandman,Swimbridge,,1622,76,Savile
HAMONDE,Richard,tailor,Ottery St Mary,,1620,114,Soame
HAMNER (Not in Cal),John,merchant,Barnstaple,,1629,59,Ridley
HAMOTT,Christian widow,,Wroughton,,1624,115,Byrde
,,,par of Haton Pouncherdon,,,,
HANCOCKE,John,,Stoke Damerell,,1628,33,Barrington
HANDFORD,"Hugh, gent",,"Denyton, Swymbridge",,1620,93,Soame
HANNEVER,Francis,bargeman,Westowe [West Hooe],,1620,1,Soame
,,,Plymstocke,,,,
HARDY,William,,Sidmouth,,1629,30,Ridley
HARLE,"Anthony, gent",,West Buckland,,1620,10,Soame
HARRIS,Barnard,,Ashburton,,1626,151,Hele
HARRIS,Nicholas,yeoman,Tavistock,,1626,87,Hele
HART,Hugh,cooper,Dartmouth,,1628,91,Barrington
HATCH,"Arthur, esquire",,Aller,,1625,80,Clarke
HAWKERIDGE,Thomas,,Lympton [Lympstone],,1624,91,Byrde
HAWKES,Thomas,merchant,resident in St Sebastians,,1625,36,Clarke
,,,born in Barnstaple,,,,
HAWKINS,"Sir Richard, knight",,Slapton,,1622,56,Savile
HAWLKE,Richard,yeoman,Rewe,,1620,91,Soame
HAYDON,"Robert, esquire",,Cadehay [Ottery St Mary],,1627,117,Skynner
HAYES,"John, esquire",,Wilkeredge [?Witheridge],,1628,37,Barrington
HAWKING,Richard,husbandman,Milton Abbot,,1629,111,Ridley
HEARD,Lewis,,Warliegh [Tamerton Folliot],,1623,114,Swann
HEDGES see HIGGS,,,,,,,
HELE,George,merchant,Plymouth,,1620,43,Soame
,son of Thomas HELE,,,,,,
HELE,"Thomas, esquire",,Fleet Damerell,,1624,109,Byrde
,,,"[Flete House, Holbeton]",,,,
HELE,"Sir Waraicke, knight",,Wembury,,1626,1,Hele
HEWARD,Thomas,,Stokegabriell,,1627,51,Skynner
(Cal says HAYWARD),,,,,,,
HEYWOOD,Willliam,,Bery Pomeroy,,1623,45,Swann
HIGGES als REYNOLDS,John,mariner,Plympton St Mary,,1623,77,Swann
(Cal reads HEDGES),,,,,,,
HILL als SPURWAYE,William,miller,Bampton,nuncupative,1620,31,Soame
HILLIARD,Pascowe widow,,Inward Leighe,,1620,4,Soame
HILLINGS,Thomas,yeoman,Holcombe Regis,,1622,41,Savile
HINSON,Thomas,,Tawstocke,sentence,1627,98,Skynner
HOBBES,Henrye,fuller,Tiverton,,1623,27,Swann
HOCKINGE,Nicholas,,Instowe,,1626,87,Hele
HOCKMORE,William,,Buckland Baron,,1627,8,Skynner
,,,[par of Combeinteignhead],,,,
HODY,Elinor,,Neathway,,1629,3,Ridley
,"wife of John HODY, esquire",,"[?Nethway House, Brixham]",,,,
HOLE,Edward,,Alphington,,1628,75,Barrington
HOLE,John,yeoman,Nemitracie,,1627,82,Skynner
,,,(PAB says Nemetracey),,,,
HOLE,Mary widow,,Nemet Tracy,,1621,76,Dale
HOLMAN,William,,Worington (Werrington),with sentence,1629,103,Ridley
HOLMEYARD,Thomas,,Holcombe Rogus,,1626,22,Hele
als WEALOND,,,,,,,
HOLWILL,Edward,yeoman,Membury,,1625,8,Clarke
HONYCOTT,Elizabeth widow,,Lanskey (Landkey]),,1623,33,Swann
HOOPER,Nicholas,,Salcombe,,1620,34,Soame
HOOPER,William,yeoman,Buckland Monachorum,,1626,143,Hele
HOOPPER,William,yeoman,Honiton,,1622,35,Savile
HOPPER,Thomasine widow,,Honiton,,1623,49,Swann
(Cal reads HOBBER),,,,,,,
HORDEN,Peter,yeoman,Braunton,,1627,10,Skynner
HORE,Augustine,yeoman,Chudleigh,,1622,49,Savile
HORE,"John, gent",,Chagford,,1628,66,Barrington
HORSEY,John,yeoman,Luppitt,,1628,95,Barrington
HUMPHREY,Arthur,chapman,Honiton,,1623,78,Swann
HUNKIN,"John, gent",,Gatherley [Hatherleigh],,1629,51,Ridley
HUNT,Hugh,yeoman,Braunton,,1622,68,Savile
HURST,Nicholas,,"Oxton, Diocese of Exeter",sentence,1625,61,Clarke
HUXHAM,William,yeoman,Harburton,,1629,53,Ridley
HUXTABLE,Edmond,husbandman,"Littlebray, Charels [Charles]",,1628,11,Barrington
HUXTABLE,Richard,husbandman,of Walland in Charells,,1625,118,Clarke
HUXTABLE,Thomas,yeoman,East Buckland,,1622,76,Savile
HYDON,Symon,yeoman,Uffculme,,1625,141,Clarke
ISTEED,Richard,phisitian,Plymouth,,1623,44,Swann
JACKSON,Christopher,,Dartmouth,,1622,104,Savile
JACKSON,John,,Stoke Gabriel,,1628,56,Barrington
JAMES see SLADE,,,,,,,
JARRETT,Thomas,,Stokentenhed,,1620,119,Soame
JEFFEREY,Robert,,"of ship ""Peppercorn, Dartmouth",,1622,24,Savile
JENCKE,John,chirurgeon,Colyton,,1620,31,Soame
JORDAINE,John,merchant,Exeter,,1628,67,Barrington
or JURDAINE,,,,,,,
KELLAND,"Johane, widow",,Totnes,,1625,17,Clarke
KELLOND,John,merchant,Totnes,,1624,16,Byrde
KELWAY,"Simon, gent",,Dawlish,,1623,63,Swann
KIDD see KYDD,,,,,,,
KING,William,,"Hawkchurch, Dor.",,1625,127,Clarke
KINGDON,"John, batchelor",,Northmolton,,1628,11,Barrington
KINGE,Richard,purser,"of the ship ""Exchange""",nuncupative,1629,6,Ridley
,,,late of Plymouth,,,,
KIRFORD,William,yeoman,Church Taunton,,1623,31,Swann
KIRKHAM,"Sir William, knight",,Blagdon [Paignton],,1625,49,Clarke
KNILL,Peter,carpenter,Braunton,,1622,58,Savile
KNILL,Thomas,,Braunton,,1629,40,Ridley
KYDD,MIles,,Withierawley,,1621,103,Dale
,,,"(PAB says ""beyondthe seas"")",,,,
LACKE,John,yeoman,Hemiocke,,1620,87,Soame
LACYE,Richard,merchant,Totnes,,1626,50,Hele
LANE,Gawin,clothier,Tiverton,,1622,23,Savile
LANGDON,Christopher,merchant,Exeter,,1625,2,Clarke
LANGDON (Not in Cal),Philip,,"Sampton, par of Braunton",,1621,89,dale
LANGDON,"William the elder, gent",,"Churston Ferrers, Brixham",,1628,45,Barrington
LANT,John,,St Petrock [Exeter],sentence,1627,23,Skynner
LANTE,"John, gent",,Exeter,,1625,79,Clarke
LAVERS,Robert,yeoman,Dipforde,,1629,28,Ridley
LEACHE,Thomas,linen draper,Bideford,,1625,40,Clarke
LEE,Christopher,merchant,Totnes,,1623,121,Swann
LEE,John,,"Colebrooke, Exeter",,1624,26,Byrde
LEE,Richard,merchant,Totnes,,1620,78,Soame
LEE,Richard,merchant,Totnes,,1627,89,Skynner
LEE,Thomas,mariner,Northam,,1629,66,Ridley
LEE,"William, senior",yeoman,Pynhoe,& sentence,1624,65,Byrde
LEE,Wilmott widow,,Colebrooke [Exeter],,1627,25,Skynner
LEMAN,John,mariner,Plymouth,,1621,101,Dale
LEY,Phillip,,East Downe,nuncupative,1628,61,Barrington
,,,,will & sentence,,,
LEYMAN,William,yeoman,Uffcolme,,1622,24,Savile
LIPPINCOTT,Thomas,,Sidbury,,1621,16,Dale
LITTLEJOHN,George,merchant,Kingswere,,1628,82,Barrington
LOINGE,Agnes spinster,,Exeter,,1628,11,Barrington
LONGE,William,,Axminster,,1622,96,Savile
LUCCOCKE,John,,Upotrie (?Upottery),,1621,47,Dale
LUGGE,Adam the elder,marchant,Barnestaple,,1623,115,Swann
LUMLEY,William,clerk,Sowton,,1626,no folio #,Hele
,,,"(PAB February. Not in Register,",,,,
,,,nor in Calendar),,,,
LUPPINCOTT,"Anthony, gent",,"Eastwood, par of Bideford",with sentence,1621,16,Dale
LUSCOMBE,Richard,yeoman,Holcombe Rogus,,1622,82,Savile
LYGON,"Thomas, singleman",,Kings Nympton,nuncupative,1628,83,Barrington
MADGE,William,yeoman,Hatherley,,1624,21,Byrde
MADICKE,John,,Stokegabrell,,1626,90,Hele
MAIOR,Barnard,,Plymouth (?) beyond the seas,,1621,103,Dale
MAIRE,John,husbandman,Moore (par Swymbridge),,1622,19,Savile
MALLACKE,Marie widow,,Axmouth,,1626,67,Hele
MANINGE,Agnes,,Yarcombe,sentence,1628,46,Barrington
MANNING,Agnes widow,,Yearcombe,will & sentence,1628,115,Barrington
MANNING,"John, gent",,Hackeland [par Cullompton],,1621,16,Dale
