NAME,FORENAME,OCCPN/STATUS,PLACE,TYPE/NOTE,YEAR,FOLIO
DAVIE,Hugh,yeo.,Stoake-rivers,,1673,157
DAVIES,"Christian,",widdow,Plymouth,,1674,86
DAVIS als WHELLER see WHELLER,,,,,,
DAVYE,Andrew,esq,Zeale-Monachorum,,1675,62
,,,,Sentence,1674,140
DAWKINS,Richard,fuller,Citty of Exon,,1625,124
,,,,,1625,
,,,,,[?is this a typo for 1675?],
,,,[Exeter],,,
DAY,,Thomas,City of Exeter,Sentence1674,136,
DAYMAN,William,clothier,Tiverton,,1674,105
DECLIFFORD,Thomas,Lord CLIFFORD of Chudleigh (Devon),,1673,143,
DEVONSHIRE,Lady Christian Cavendish see CAVENDISH,,,,,
DEVONSHIRE,"Thomas,","bach, seaman",Kingstanton,,1673,6
,,,"d. H.M.S. ""French Rube""",,,
,,,[Kingsteignton],,,
DRACK(E),Robert,,Cruse Morchard,,1672,119
DURRACOTT,John,marchant,Biddeford,,1673,75
EAVENS,John,marriner,Frumington neare Barnstable,,,
,,,,,1672,99
,,,"ship ""East India Marchant""",,,
ELWILL,John,mcht,City of Exeter,,1675,83
ELY,Daniel,mcht,Plymouth,,1673,100
EUSTIES (EWSTIES),Henry,yeo,St Budiox,,1674,7
,,,[St Budeaux],,,
EVANS,Henry,Vicar of Eastbudleigh,,,1672,59
EVELEIGH,"Gilbert,",gent,Totnes,,1672,59
EVELEIGH,William the elder,,Talleton,,1673,158
FLEMING,John,mcht,Westleigh,,1672,73
,,,[tithing of Burlescombe],,,
FLEMINGE,Thomas,mcht,Branton,,1671,19
,,,[Braunton],,,
FLUTE,John,marriner,Plymouth,,1673,91
FORTESCUE,Peter,esq,Preston,,1673,91
,,,[?Paignton or hamlet of Newton Abbott],,,
FOSTER,Richard,yeo,Payhembury,,1672,60
FOWNES,John,esq,Whitley,,1671,112
,,,,admon d.b.n. 20 June,1682,
,,,"[?Whitleigh, St Budeaux]",,,
FRANCIS,"Paul,",gent,Plymouth,,1674,72
FRENCH,Edward,seaman,late of Plymouth,,1673,123
,,,"H.M.S. ""Newcastle""; d. at sea",,,
FULFORD,Francis,esq,Fulford,,1675,33
,,,"[Fulford House, Dunsford]",,,
GAYE,Richard,chryurgion,Collompton,,1672,74
GEFFERY,George,marchant,Dartmouth,,1671,63
GILBERT,"Jane,",widowe,Churston Ferrers,,1671,112
,,,"d. Thorne St Margaret, Som.",,,
GILLETT,Phillipp the elder,,"Chardstocke, Dorset",,1675,46
GIST,Thomas,fuller,Citty of Exon [Exeter],,1672,46
GORGES,Thomas,esq,Cockington,,1671,45
,,,,admon/will d.b.n. 2 June 1676,,
GORRELL,Phillip,mariner,Abbothton [?Abbotsham],,1673,20
,,,d. beyond seas,,,
GOTLEY als BLATCHFORD see BLATCHFORD,,,,,,
GOULD,William,Esq,"Dunscombe, Crediton",,1671,129
,,,,Sentence,1672,37
GRAHAM als PARHAM,John,trumpeter,,,1672,112
,,,"shipp ""Antilope"" at Plymouth",,,
GREENING,William the younger,marriner,Biddeford,,1671,36
GREENVILL,"Dame Mary,",widdow,Fitzford,,1672,55
,,,[Tavistock],Sentence,1672,38
HALL,Samuel,clerke,Stokeintinhead,,1675,35
,,Subdean of Cathedrall church of,,,,
,,"St Peter, Exon",,,,
HAMMOTT,Thomas the elder,mariner,Bideford,,1673,146
HELLAND,"Peter,",gent,Plymouth,,1671,47
HELLIER,Hugh,yeo,Church Staunton,,1672,49
,,,[Church Stanton],,,
HENDER,"Peter,","bach., mariner",Plymouth,,1674,47
,,,"ship ""Happie Returne""",,,
HOBBS,"Julian,",widdow,Barnstaple,,1675,112
HOLDITCH,"Elizabeth,",widdowe,Totnes,,1671,133
HOLLOWAY,Peter,esq,"Goodleigh, Uffculme",,1674,8
HOLMES,Thomas,merchant,"Colyton, Devonshire",,1671,20
,,,,admon d.b.n. with will,1684,Sept
HOLWAY,"Peter,",gent,Dunkeswell,,1671,21
HOOPER,"Honor,",widd.,Heaton Punchardon,,1674,47
HOOPER,"Simon,",bach,Thorncombe,,1671,78
HOOPER,"William,",gent.,West Allington,,1675,76
HOVELL,Pasco,mcht,late of Plymouth,,1674,145
,,,"now of Brerick, Antony, Cornwall",,,
HOWARD als GREENVILLE,Dame Mary - see GREENVILLE,,,,,
INGLETT,"Arthur,",gent.,"Hurdwicke, Tavistocke",,1675,101
KELLAND,"Walter,",gent.,Stoke-Canon,,1672,76
KELLWAY,Nicholas,yeo,"Forston, Charminster, Devon",,1671,22
,,,[Charminster is in Dorset],,,
KESWELL,Alexander,yeo,Hamock,,1674,88
,,,[Hemyock],,,
KING,John,mcht,Citty of Exon,,1674,128
,,,[Exeter],,,
KIRKHAM,William,esq,Pinhoe,,1671,134
KIRTON,Edward,marriner,Topsham,,1672,17
KNIGHT,William,priest,Sadbury in Thorncombe,,1675,66
,,,"d. at Taunton, Som.",,,
LANE als LAAN,Henry,,Membury,,1673,162
,,,,Sentence,1673,140
LANYON,John,mcht,Plymouth,,1674,27
,,,"d. at Paris, Kingdom of France",,,
,,,,admon d.b.n. 14 Nov 1706,,
,,,,Sentence,1674,80
LEACH,Thomas,marchant,Bideford,,1671,135
LEE,John the younger,yeoman,Sowton,,1672,17
LETHBRIDGE,Christopher,esq,City of Exeter,,1671,38
,,,,this probate expired,1674,p 126
,,,,new probate granted,1674,Aug
,,,,will registered,1671,38 (Duke)
LOVERING,John the elder,mcht,Weare Jifford [Gifford],,1675,49
LYE,"Richard,","bach., seaman",Dartmouth,,1674,108
,,,d. in East Indies,,,
MAJOR,Henry,husba.,Utculme [Uffculme],,1674,101
MALLACK,Joane dau of John MALLACK esq of Axmouth,,,,1674,89
MANNING,"Jane,",widowe,Ufcolme,,1672,90
,,,[Uffculme],,,
MATHEW,John,yeo,"Watchford, Yarcombe",,1671,24
MATTHEW,Edward,,Stonhouse,,1673,92
,,,[East Stonehouse],,,
MATTHEW,John the elder,,Rockbeare,Admon,1672,p 101
,,,,will registered 87 Fines,1647,
MILDON,John,yeoman,Poltymore,,1673,92
MILTON (MELTEN Cal),Edward,,Bampton,Admon,1671,p 70
,,,,will registered 172 Mico,1666,
MORRIS,"John,",bach,Otterton,,1672,152
,,,"ship ""Warspright""",,,
NEWTE,"Henry,",gent,Tiverton,,1671,25
,,,,another probate,1676,26 Jun
NICHOLES,William,husbn.,Huntsham,,1675,37
NORTHMORE,"John,",gent,South Tawton,,1671,136
NOTT,Emmanuel,mercer,Ufculme,,1671,25
NUTCOMBE,"Christian,",widdow,Clehanger,,1673,81
,,,[Clayhanger],,,
OATEWAY,John,clothier,Tiverton,,1672,32
OSBORNE,"Bernard,","bach, marriner",Marldon [Marsden],,1675,6
,,,,d. at sea,,
PAIGE,Gilbert,mcht,Barnestaple,,1671,134
PAIGE,"Mary,",widdow,Barnestaple,,1674,117
PARHAM als GRAHAM see GRAHAM,,,,,,
PARRETT,John,clothier,Tiverton,,1673,129
PARSON,Henry,yeo,Shutt,,1671,27
,,,[Shute],,,
PARTRIDGE,James,yeo,Witheridge,,1671,94
PERRY,James,clothier,Culmestocke,,1671,81
PHILLEY,Morgan,clothier,Citty of Exeter,,1672,52
POLWHELE,Mary,,Tiverton,,1671,147
,,,,Sentence,1671,152
PULFORD,William,yeo,Honyton,,1675,86
PUNCHARD,Francis,clothier,Pilton,,1675,86
PURWAY als SPURWAY,Thomas,marriner,Dartmouth,,,1673
,,,"d. H.M.S. ""Andrew"" at sea",,,
PUTT,Samuell,,Totnes,,1672,141
RADCLIFFE,"Thomasine,",widdow,Christow,,1673,11
RADFORD,Gregory,,Wormlington,,1673,p 65
,,,,will registered 145 Nabbs,1669,
,,,[East or West Worlington],,,
RANSFORD,Jarvase,,Ufcolm [Colme],,1671,99
,,,[Uffculme],,,
REDWOOD,Nicholas,,Citty of Exeter,,1675,p 6
,,,,will registered Coke 22,1669,
REYNOLDS,Nicholas,mcht,Citty of Exeter,,1674,147
RICHARDS,John,mcht,Honyton,,1673,130
ROBERTS,Robert,fuller,Citty of Exeter,,1671,99
ROBINS,"Joane,",spin,Membury,,1673,104
SAUNDER,"Embrance,",widdow,Otterie [Overy] St Mary,,1674,92
SCOBELL,Richard,mariner,Plymouth,,1672,104
SEAMAN,"Mary,",widdow,Citty of Exeter,,1675,29
SENYOR,John,,Awlescombe,,1674,40
SHAPCOTE,Dorothy,,Citty of Exon,,1671,148
,,,[Exeter],,,
SHAPCOTE,George,fuller,Citty of Exon,,1672,104
,,,[Exeter],,,
SIMONS,"William,","bach., seaman",Barnstaple,,1673,116
,,,"H.M.S. ""Cambridge""; d. at sea",,,
SKELTON,"Sir John, knt",,Plymouth,,1673,39
SKINNER,Anthony,mcht,Plymouth,,1673,165
SKYNNER,Alexander,yeo,Chitle hampton,,1673,164
,,,,admon d.b.n.,1681,02 Jul
SLADE,James,,Cittie of Exon,,1672,81
,,,[Exeter],,,
SLOMAN,Lawrence,yeo,Hartland,,1671,95
SMITH,Henry,yeo,"Stockland, Dorset",,1673,39
SPICER,Mathew,cooper,Egbuckland,,1673,165
SPLATT,"Clarie,",widdow,Plymouth,,1671,51
SPURWAY see PURWAY,,,,,,
STARR,Edmond,grocer,Cittie of Exon,,1674,148
,,,[Exeter],,,
STICKEY,William,Rector of Marwood,,,1673,131
STONE,"Elienor,",wid.,Clehanger,,1674,77
,,,[Clayhanger],,,
STONESTREET,Henry,,Plymouth,,1672,65
STRELLEY,George,esq,Plymouth,,1674,40
TANNER,John,yeo,"Hay, Exmouth",,1672,21
TAYLED als TAYLOR,"Thomas,","bach., mariner",High Bickenton,,1674,51
,,,"ship ""Gloucester"" at sea",,,
TAYLER,"Charles,",gent,Citty of Exeter,,1671,96
TAYLOR,"George,",gent,Ottery St Mary,,1671,138
,,,"d. in Fleet Prison, London",,,
TAYLOR,"Nicholas,","bach., marriner","Yarme, Devon",,1674,40
,,,"ship ""Nightingale""",,,
TAYLOR,Thomas see TAYLED,,,,,
TEDDEMAN,Thomas,marriner,"Dover, Kent [Devon]",,1675,94
THOMAS,"Elizabeth,",widdow,Plymouth,,1672,114
THOMAS,Samuel,,Dartmouth,,1674,p 179
,,,,admon; will regd 49 Pell (1659),,
THOMAS,William,,Barnstable,,1673,12
THORNE,Henry,,Bishops Nympton,Admon,1671,p 70
,,,,will registered 1668,Nov,
,,,,expired & will pvd,1673,June p 82
,,,,will registered 146 Hene (1668),,
TIDBOALD,Walter,yeo,Stoocleigh,,1671,30
,,,[?Stockleigh],,,
TROSSE,"Rebecka,",widdow,Citty of Exeter,,1674,2
UPTON,"Henry the elder,",gent,Burlescombe,,1675,79
VICKARY,"Lawrence,",gent,Dunkeswell,,1671,150 & 158
VILLIERS als ACKLAND Dame Eleanor,,),,,,
VINCENT als ACKLAND,,),see ACLAND,,,
VYE,Walter,yeo,Colyton,,1674,12
WADLAND,Thomas,,Biddeford,,1673,p 72
,,,,will registered 45 Coke (1669),,
WALDRON,"Alice, wid.",,Hemyocke,,1674,12
WALKER,Robert,esq,City of Exon,,1673,153
,,,[Exeter],,,
WALLIS,John,mercer,Plymouth,,1672,23
WARREY,George,yeo,Axemister,,1671,30
WEBB,"Dorothy,",widdow,Uffculme,,1674,94
WEBB,John,,Plymouth,,1671,97
WESCOMBE,John,gent,"Tale, Payhemburie",,1671,109
WESTLAKE,Thomas the elder,,City of Exeter,Admon,1672,p132
,,,,will registered 66 Mico (1666),,
WHELLER als DAVIS,"Margery,",widdow,Membury,,1674,98
WHITHORNE,Andrew,yeo,Dunkeswell,,1672,106
WIDGER,Samuell,,Dartmouth,,1675,29
YEABSLEY,Thomas the elder,mcht,Towne of Plymouth,,1674,3
,,,,Sentence,1674,79
YOUNG,"John the younger,","bach, chirurgeon",Plymouth,,1671,98
,,,d. in E. Indies,,,
YOUNGE,"Walter,",gent,"Ford, Dalwood, Dorset",,1672,83
