NAME,FORENAME,OCCPN/STATUS,PLACE,TYPE/NOTE,YEAR,FOLIO
CROCKER,Hugh,merchant,Exeter,,1662,62
CROSSE,Edmund,clothier,Kentisbeere,,1662,152
CROSSE,Laurence,clothier,Ufculme,Will,1665,81
,,,,Sentence,1670,112
CROSSE,Michael,yeoman,Clehydon,,1664,120
,,,[Clayhydon],,,
CROSSING,William,clothier,Ipplepen,,1668,17
CRUSE,"Thomas,",gent,Withecombe,,1667,90
,,,[Withycombe Raleigh],,,
CUDMORE,"Andrew,",widower,) Rackenford,,1664,Feb
,,,),,1666,June
CUDMORE,Mary,,),will registered 623 Wootton 1658,,
CUDMORE,"Zachary,",gent,Loxbeare,,1668,62
CULLING,Richard,,Exeter,Admon,1663,f 155
,,,,will registered 33 Nabbs,1660,
CULME,"Benjamin,",esq,Cannonleigh,,1663,118
DABINET,Henry,baker,"St Mary Steps, Exeter",,1668,104
DAVIES,Henry,merchant,Plymouth,,1670,4
DAVY,James,merchant,Exeter,,1670,118
DAVY,"John,",esq,Crediton,Admon,1667,f 158
,,,,will registered 52 Essex,1648,
DAVY,"Nicholas,",gent,Zeale Monachorum,,1663,129
DAVY,Richard,yeoman,"Kilderhayes, Stockland, Dorset",,,
,,,,,1664,51
DAVY als WHEELER,"Thomasin,",widow,"Stockland, Dorset",,1665,71
DAVY als WHEELER,William,,"Housaise, Stockland, Dorset",,1669,70
DAY,Dorothy,,Exeter,Sentence,1668,110
DAYMANT,Richard,husbandman,"Stockland, Dorset",,1666,114
DEANE,"Richard,",esq,Frithelstocke,,1669,139
DEERE,William,clothier,Burliscom,,1670,160
,,,[Burlescombe],,,
DEERING,"Thomas,",gent,Plymouth,,1669,103
DE RATT,Daniel - see RADT,,,,,
DILLON,"Robert,",esq,"Hart, Heaton (Punchardon)",,1664,51
DOIDGE,"Richard,",gent,"Leigh, Milton Abbot",,1661,173
DORE,"Sara,",widow,Axmouth,,1665,94
DOWNING,John,yeoman,Shute,,1670,74
DRAKE,"Edward,",gent,"Waddon, Colyton",,1668,153
DRAKE,"Sir Francis,",baronet,Buckland,,1662,48
DRAKE,"Sir John,",knight & baronet,"Trill, Axminster",,1669,159
DRAKE,"Thomas,",esq,Wiscombe,,1661,137
,,,[? @ Southleigh],,,
DUCKE,"Anne,",spinster,"Pilney, Broadhembury",,1670,32
,,,,(Devon: Calendar) Sentence,1670,113
DUCKE,"Nicholas,",esq,Mount Radford,,1618,12
,,,[Exeter],,,
DUKE,"Robert,",gent,Littleham,,1661,154
,,,[?Littleham @ Exmouth OR @ Bideford],,,
EAMES,Thomas,taylor,Okeford,,1667,115
EARLE,Nicholas,mariner,Plymouth,,1670,90
,,,(died abroad),,,
EARLE,William,merchant,Totnes,,1668,18
EASTMOND,James,seaman,Limestone,,1661,48
,,,"d. at Jamaica in ""Armes"" of Holland",,,
,,,[Lympstone],,,
EDGCOMBE,"Pears,",esq,Mount Edgecombe,,1667,61
,,,[nr Plymouth - ?part of par of Maker],,,
EDMONDS,George,mercer,St Thomas,,1664,3
,,,"[St Thomas the Apostle, Exeter]",,,
EDWARDS,"Marie,",widow,"Dalwood, Dorset",,1668,116
EDWARDS,Thomas,merchant,Plimouth,,1668,46
,,,"d. in St James Dukes Place, London",,,
ERNLE,"William,",gent,Bideford,,1663,59
EWD als AWD,James,shipwright,Plimouth,,1668,17
,,,"H.M.S. ""Coulchester""; d. at sea; unmarried",,,
FAREWELL,"Elizabeth,",spinster,Cannonsleigh,,1664,93
FELL,William,merchant,Follaton,,1669,31
,,,"[?Follaton House, Totnes]",,,
FLEMING,Edward,merchant,"Bear-Chre, Braunton",,1667,132
FORD,"Andrew,",gent,Offwell,,1668,116
FORD,"Jane,",singlewoman,Ilsington,Will,1664,130
,,,,Sentence,1664,130
FORD,"Thomas,",esq,Exeter,,1661,4
FORD,"Thomas,",gent,Ilsington,,1664,48
FORD,"Thomas,",gent,Honiton,,1664,134
FORD,"Thomas the elder,",esq,Aisburton,Admon,1667,f 3
,,,,will registered 78 Pile,1636,
,,,[Ashburton],,,
FORTESCUE,"Hugh,",esq,Weare Gifford,,1663,"88,92"
,,,,Sentence,1663,28
FORTESCUE,"Sir Edmund,",knight & baronet,Great Fallapitt,,1668,18
,,,[East Allington],,,
FOWLER,"Bridget,",widow,Axminster,,1668,116
FRANCIS,"Philip,",esq,Plymouth,Double Probate,1668,f 181
,,,,will proved Dec,1658,
FROST,Giles,souldier,"Portsmouth, Southants",,1661,175
,,,"(but at Pilton, Devon)",,,
FRY,William,husbandman,Countesbury,,1663,17
FRY,"William,",gent,Yarty,,1670,119
,,,"Yate, Devon but d. at Highgate, M'sex",,,
,,,"[Yarty, Membury]",,,
FRYER,Anthony,mariner,Plymouth,,1667,168
FULFORD,"Sir Francis,",knight,Fulford,,1664,48
,,,"[Fulford House, Dunsford]",,,
FULL,Edward,yeoman,Staverton,,1663,60
FURLONGE,"Oliver,",gent,Tamerton Folliett,,1663,35
GALHAMPTON,James,merchant,Topsham,,1661,140
GALLEN,Peter,yeoman,Knowston,,1663,48
GALLEN,Richard,husbandman,Knowstone,,1663,107
GALSWORTHY,Joan,,Parkeham,,1662,127
GARNSEY,"Edward,",gent,Burlescombe,,1662,49
GARRETT,"Wilmott,",widow,Totnes,,1670,99
GEATON,Henry,yeoman,Clovelly,,1663,93
GIBBS,Abraham,grocer,Exeter,,1668,140
GIFFORD,Catherine,,Exeter 2nd Probate,,1668,f 162
,,,,will proved Apr,1666,
,,,,see next entry,,
GIFFORD,"Katherine,",widow,Exeter,,1666,67
GILES,"Edward,",esq,Bowden,,1669,55
,,,"[Bowden House, Ashprington]",,,
GILL,Henry,,"Hawkchurch, Dorset",,1668,19
GILL,"Johan,",widow,Silferton,,1663,80
GILL,Richard,yeoman,Uffculme,,1669,84
GOFFE,Philip,mariner,Dartmouth,,1666,23
,,,"d. at Stepney, M'sex",,,
GOODYEARE,John,merchant,Plymouth,Will,1668,32
,,,,Sentence,1668,99
GOULD,"Edward,",gent,Staverton,,1662,143
GOULD,William,,Hayes,Admon,1664,Feb
,,,,will registered 99 Goare 1637,,
,,,[?hamlet of Hayes at Ashreigny],,,
GREAD,John,beerebrewer,Barnestaple,,1670,75
GUBBES,John,merchant,Plymouth,,1665,15
GUBBES,Robert the elder,merchant,Plimouth,Will,1664,55
,,,,Admon,1665,Feb
HAACHE,Thomas,merchant,"native of Satterleigh, England",,,
,,,,,1661,111
,,,"(Satterleigh, Devon, but d. in Rochell, France)",,,
HACKMAN,Trustram,,Upautry,,1670,77
,,,[Upottery],,,
HALFYARD als LEE - see LEE,,,,,,
HALOWAY,Richard,innholder,Coliton,,1668,19
,,,[Colyton],,,
HANCOCK,"John the elder,",esq,Comb Morten,,1661,97
HANGER,Edward,mariner,Bastable,,1667,22
,,,d. abroad unmarried,,,
,,,[Barnstable],,,
HANNAFORD,"Jane,",widow,Holne,,1661,47
HARRIS,John,woollen draper,Plymouth,,1665,5
HARRIS,Richard,merchant,Barnestable,,1665,50
HARRIS,Tristram,shipwright,Maker,,1663,49
HARTNOLL,"George the elder,",gent,Tiverton,,1664,82
HARTNOLL,Thomas,clerk,Templeton,,1662,116
HARVEY,"Richard,",gent,Exeter,,1663,145
HATCH,"Edmund,",esq,"Langford, Collompton",,1664,30
HATSELL,Henry,,Saltrum,,1667,64
,,,[Saltram],,,
HAYDON[HEYDON],John,silkweaver,Tavistocke,,1668,126
HAYNE,John,,Cotleigh,,1667,154
HAYNE,William,clothworker,Thorncombe,,1665,52
HEDGES,Robert,,sugarbaker Exeter,,1661,96
,,,"Hayes, M'sex but d. at Exeter",,,
HELE,"Thomas,",esq,Fleete Damerell,,1667,107
,,"son & heir apparent of Sir Thomas HELE of same,",,,,
,,knight & baronet,,,,
,,,"(d. at Wigborough, Somerset)",,,
,,,"[Flete House, Holbeton - seat of HELE family]",,,
HELLINGS,"Elizabeth,",widow,Culmestocke,,1669,161
HELLINGS,Thomas,clothier,Culmestocke,,1669,33
HERMAN,Ralph,,Alderman of Exeter,Will,1662,49
,,,,Sentence,1662,150
HILL,Hugh,yeoman,Studleigh,,1665,83
,,,[Stoodleigh or Studley nr Tiverton],,,
HILL,Robert,,Shilston,Admon,1661,Feb
,,,,will registered 120 Goare 1637,,
HILL,"William,",gent,Tiverton,,1667,133
HITCHCOCK,Nicholas the elder,clothier,Uffculme,,1661,177
HOARE,Jasper,,Combepyne,,1663,145
HODGE,William,,"London (Modbury, Devon)",,1666,164
HOLDITCH,Abraham,merchant,Totnes,,1667,81
HOLLWAY,"George,",gent,Dunkeswell,,1667,37
HOLLWAY,James the elder,,"West towne, Hemiocke",,1665,62
HOLMAN,John,clothier,Yearnscombe,,1662,66
,,,[Yarnscombe],,,
HONNEY,Joseph,merchant,Plimouth,,1663,50
HOPPING,"Rebeka,",spinster,Christow,,1667,62
HOPPING,"Susan,",widow,Exeter,,1661,97
HOPWOOD,William,clerk,Exeter,,1661,125
,,"a priest vicar of St Peter's Cathedral, Exeter",,,,
HUGHES,George,clerk,Plimo,,1667,100
,,,[Plymouth],,,
HULL,William the elder,clothier,Ottery St Mary,,1666,143
HUNT,"Thomas,",esq,Chudley,,1669,161
HURLESTON,"Katherine,",widow,Barnstable,,1664,122
HUTCHENS,Joan,,Upottery,,1665,5
HUTCHINS,John the elder,yeoman,Upautery,,1670,166
,,,[Upottery],,,
INCLEDON,Lewis,,Braunton,Admon,1661,Oct
,,,,will proved Jan 1658,,
IRELAND,John,anchorsmith,Plymouth,,1667,13
ISACK,"Christopher,",gent,"Manson, Sidbury",,1669,161
JACKMAN,John,merchant,Bideford,Will,1661,47
,,,,Admon,1661,May
JACKSON,"John,",gent,,Woodbury,1662,128
JAGOE,Walter the elder,,Plimouth,,1661,59
JAMES,"Judith,",widow,Instow,,1661,156
JEFFERIES,Thomas,,St Christophers,,1661,156
,,,"(Plymouth, Devon, but d. abroad unmarried)",,,
,,,[?St Kitts in W.Indies],,,
JENKINS,David,yeoman,"Sandford, Crediton",,1668,142
JENNENS,Thomas,,Plymouth,,1661,199
,,,,Sentence,1661,89
JENNINGS,"Ambrose,",bach.,late of Plymouth,nuncup.,1662,97
,,,"d. in St Botolph, Bishopsgate",,,
JERMAN,Thomas,yeoman,Uffculme,,1661,74
JUELL,"Anne,",widow,Exeter,2nd Probate,1668,f 125
,,,,will proved Jan 1653,,
JEWELL,Edward,merchant,Barnstaple,,1661,25
JOYCE,"Grace,",spinster,Studley,,1664,135
,,,[Stoodleigh],,,
JOYCE,"Katherine,",widow,Morebath,,1668,157
KEMPE,Mathew,waterman,Topsham,,1668,33
KITTE,John,husbandman,"Stockland, Dorset",,1661,112
KNIGHT,"John,",gent,"late of Iddelsigh, now of",,,
,,,Munchockhampton,,1665,43
,,,,Sentence,1666,155
,,,[Monk Okehampton],,,
KNIGHT,Thomas,yeoman,Halberton,,1670,23
LAMBE,"John,",gent,Buckland Bruer,,1669,96
LAMBERT,John,blacksmith,Biddiford,,1667,38
LANE,John,mercer,Tiverton,,1667,47
LANE,Thomas,mercer,Tyverton,,1661,7
LAWRENCE,William,shipwright,Plymouth,Will,1669,47
,,,,Sentence,1669,112
LEE als HALFYARD,John,innholder,Feinton,,1670,23
,,,[Feniton],,,
LEECH,"Leach (sic),",widow,St Thomas Apostle,,1666,166
,,,"[St Thomas the Apostle, Exeter]",,,
LEY,Philip,merchant,Totnes,,1664,56
LEIGH,Thomas,merchant,Tiverton,,1664,135
LEONARD,John the elder,yeoman Sutcombe,,,1661,113
LISSEN,"James, bach",seaman,"Kings Ward, Nr Dartmouth",,1670,79
,,,d. abroad,,,
LOPTHORNE,John,seaman,South Hewish,,1662,126
,,,[South Huish],,,
LOVERING,Richard,shipwright,Woodberry,,1665,98
LUCAS,John,,Plymouth,,1667,65
,,,d. abroad,,,
MADDAFORD,Roger,yeoman,"Longbater, Tavistock",,1661,127
MANDITT,Isaac the elder,merchant,Exeter,,1664,95
MANLEY,William,yeoman,Hemyock,,1670,61
MARCH,"Richard,",gent,Rew,Will,1665,74
,,,,Sentence,1666,109
MARTIN,John the elder,merchant,Exeter,,1670,24
MARTIN,"Margaret,",widow,Exeter,,1661,59
MARWOOD,"Thomas,",gent.,Northleigh,,1661,49
MAUDIT,Deborah,,Devon,,1666,April
,,,[no place name recorded],,,
MAUDIT,Richard the elder,,"St Leonard, Shoreditch, M'sex",,,
,,,,,1667,f.133
,,,,will proved Auh 1657,,
,[these two MAUDITs are bracketed together & ?may be connected],,,,,
MAUNDER,George,yeoman,Witheridge,,1670,24
MAYNARD,Christopher,merchant,Totnes,Will,1669,67
,,,,Sentence,1670,128
MAYNE,John,yeoman,Holcombrogus,,1669,74
,,,[Holcombe Rogus],,,
MAYNE,"Samuel,",gent,City of Exeter,,1662,22
MARSHALL,"Joan,",widow,Uffcolme,,1662,87
MEESE,"John,",esq,"Binley, Warwickshire Will",,1667,112
,,,"at Evesham, Worcs",,,
,,,"""being on a journey into Devonshire""",,,
,,,,Admon,1668,f. 153
MEESE,Robert,clerk,Stokeingham,,1664,"103,131"
,,,[Stokenham],,,
MELHUISH,George,clothier,Culmestocke,,1663,82
MELTON,Edward,,Bampton,Nuncupated,1666,172
MENIFIE,"John,",gent,Halberton,,1668,143
MERVIN,Richard D.D.,Chancellor of Exeter Cathedral,,1670,148,
MEW,Henry,mariner,Plymouth,,1667,156
MICHELL,"Edward,",gent,late of Exeter now of St Thomas,,,
,,,by said City,,1662,59
,,,,Sentence,1662,150
MILL,"Robert the elder,",gent,West Putford,Will,1667,108
,,,,Sentence,1667,126
MILL,"William,",gent,Bideford,,1664,41
MILLS,John,yeoman,Ufculme,,1670,24
MILTON,Edward,yeoman,Bampton,,1664,95
MINSHULL,John,clerk,Sydmouth,,1664,8
MONK,"Susanna,",widow,Plymtree,,1664,58
MOORE,"Jane,",widow,Bradworthy,,1663,97
MOORE,Willima,mariner,Dartmouth,,1661,142
,,,"now of Redmeed ?Lane, M'sex",,,
,,,"d. in St Thomas Apostle, Southwark",,,
MOORE,"William,",gent,Broadwoodwigger,,1668,143
MORSE,Richard the elder,yeoman,Hockworthy,,1665,17
NASH,Mary,,Eggisford,,1664,19
NEWCOURT,"William,",esq.,Pickwell,Nuncupated,1666,147
NICOLL,John,mercer,Plymouth,,1662,8
NORTHOVER,"Sarah,",spinster,Clayhanger,,1669,98
NOTTELL,"Elizabeth,",singlewoman,Bideford,,1669,74
NOTTELL,Mary,,Devon,Admon,1666,April
,,,[no place name recorded],,,
OLIVER,Thomas,grocer,Plymouth,,1668,85
OPEY,"Nicholas,",esq.,Plymouth,,1662,156
OSBORNE,Mathew,clerk,Chudleigh,,1662,69
PALMER,"Anne,",widow,Exeter,,1662,89
PARMYNTER,Peter,yeoman,West downe,,1663,98
,,,[nr Barnstaple],,,
PARNACOTT,Humfry the elder,mercer,Plymouth,,1669,98
PARRE,"Peter,",bachelor,Exeter,Sentence,1667,175
PATCH,Richard the elder,carpenter,Uffcolme,,1661,9
PATEY,John,sergemaker,Tyverto,,---,---
,,,,,[NO year or folio page recorded],
PEARD,"Charles,",gent,Barnstaple,,1661,28
PEARD,Justinian,merchant,Plimouth,,1669,163
PEIRCE,Mathew,mariner,Plimouth,,1666,132
,,,"d. at sea, bachelor",,,
PENNY,"John,",gent,Ide,Will,1661,115
,,,,Sentence,1661,85
PENNEY,John,mariner,Dartmo.,,1662,99
,,,d. abroad: Calendar,,,
PENROSE,Richard,carryer,Holsworthy,,1664,96
PERIAM,Samuel,clerk,Widworthy,,1662,70
PETTY,"Leonard,",gent,Lippett,nuncupated,1662,99
,,,"d. at Chard, Somerset",,,
,,,[Luppitt],,,
PHELPE,Roger,mariner,Newton Ferries,,1669,98
,,,[Newton Ferrers],,,
PIKE,Walter,mariner,Berrferryes,,1666,102
,,,"d. at sea in the ""Antelop""",,,
,,,[Beer Ferris],,,
POINTZ,"Edward,",gent,Barnstaple,,1668,51
POLLARD,"John,",esq,"Langkey, High Bickington",,1668,22
POTTER,Bartholomew,clothier,Broadhembury,,1669,60
POTTER,George,merchant,Exeter,Will,1663,"58, 71"
,,,,Sentence,1663,43
PRATT,"Mary,",widow,Broadhembury,,1668,8
PRESTON,"Barbara,",widow,Upotery,,1669,43
PUTT,"William,",esq,"Combe, Gittisham",,1663,83
RADDON,Edward,,Offwell,,1669,61
RADFORD,Thomas,yeoman,East Worlington,,1668,130
RADT als DE RATT,Daniel,,Plumouth,Admon,1663,Mch
,,,"died at Smithwick, Cornwall",,,
,,,,will registered 1 Barrington,1628,
RAYMOND,Thomas the elder,yeoman,"Hawkchurch, Dorset",,1666,104
RAWLEIGH John,,yeoman,Buckleigh Filleigh,,,
,,,,Nuncupated,1664,7
REDWOOD,Nicholas,iremonger,Exeter,,1669,22
REEPE,William,milliner,Plymouth,,1669,10
RICHARDS,"George,",gent,Silferton,,1667,82
ROLLE,"Robert,",esq,Heaton Sackville,,1661,30
ROSIER,"Susan,",widow,Barnestable,,1662,25
ROUPE,"Johane,",spinster,Plymstocke,,1667,172
ROWE,"Jane,",widow,North Petherwin,,,
,,,,Nuncupated,1664,138
ROWE,Johne (sic),singlewoman,Abbotashton,,1661,30
ROWE,"Margery,",singlewoman,Plymouth,Will,1668,151
,,,,Sentence,1668,100
RUMBELOWE,Thomas,,South Molton,,1669,61
SALTER,Anthony,doctor in phisick,Exeter,,1668,108
SALTER,"George,",gent,Cruse Morchard,,1663,148
,,,[Cruwys Morchard],,,
SALTTEN,John,,Hanshaw,Admon,1661,April
,,,,will registered 182 Harvey,1639,
,,,[?Huntshaw],,,
SAMMES,Andrew,mariner,Dartmouth,,1670,85
SAMPSON,Giles,yeoman,Beere Regis,,1667,160
SANFORD,"Katherine,",widow,Collompton,,1661,51
SANFORD,William the elder,grocer,Exeter,,1662,10
SAUNDERS,Laurence,,Devon,Admon,1666,Aug
,,,,will registered 91 Rivers 1644/5,,
,,,,[no place name recorded],,
SCADDING,John the elder,yeoman,Hemyocke,,1667,161
SEAGER,"Dorothy,",widow,Stoake Cannon,,1662,42
SEALEY,John,,Morbath,,1663,84
SELWOOD,Richard,yeoman,"Chardstocke, Dorset",,1668,159
SHOWER,William,marchant,Exeter,,1661,186
SKINNER,"Wilmoth,",widow,Sowton,,1669,79
SMALE,Hugh,,Ilsington,Double Probate,1670,f 64
,,,,will proved Sept,1653,
SMALL,Richard,mariner,"Westley, near Barnestable",,1668,97
SMITH,William,husbandman,Membury,Nuncupated,1664,63
SNOWE,Robert,clerk,Exeter,,1668,109
SNOWE,Simon,merchant,Westwood,Will,1669,37
,,,,Sentence,1669,37
,,,[?Westwood near Broad Clyst],,,
,,,[OR ?Westwood - hamlet of Dawlish],,,
SOUTHCOTT,"Frances,",widow,Buckland Toutsaints,,1664,126
SOUTHCOTT,"Thomas,",gent,"Doulishayes, Kilmington",,1664,32
SOUTHCOTT,"Thomas,",esq,Buckland Toutzaintes,,1664,64
SOWDON,William,mariner,Plymouth,,1670,27
SPARK,Bernard,merchant,Exeter,,1668,121
SQUIER,Richard,,South Molton,,1666,133
SQUIRE,"Jane,",widow,Barnstaple,,1669,128
STANDISH,Richard,,late of Dorchester,,1668,24
,,,"now of Hawkchurch, Dorset",,,
STAWELL,"Sir John,",knight,Boviytacey,Will,1670,145
,,,,Sentence,1670,112
,,,[Bovey Tracey],,,
STEARE,Humphrey,clerk,Uffculme,Will,1661,163
,,,,Admon,1665,May
STEPHENS,"Nathaniel,",gent,Tavistocke,,1665,7
STEPHENS,Nicholas,yeoman,Hocworthy,,1661,187
STEWKLY,"Sir Thomas,",knight,Aston,Nuncupated,1663,122
,,,"[Affton Barton, West Worlington]",,,
,,,[seat of STUKLEY family],,,
STOCKER,Evan,yeoman,Colyton,,1669,148
STOFORD,"Elizabeth,",singlewoman,Wodburie,,1669,79
,,,[Woodbury],,,
STOKES,"John,",gent,late of Plymouth,,1665,52
,,,now captain of H.M.S. Marmaduke,,,
,,,& admiral of the Royal Company,,,
,,,bound for Genoa Coast;,,,
,,,d. at Portsmouth,,,
STOKES,Samuel,mariner,Topsham,,1665,75
,,,d. abroad: Calendar,,,
STONE,Isaac,mariner,Southpoole,,1668,9
,,,"H.M.S. ""Leopard""",,,
,,,[South Poole nr Kingsbridge],,,
STREET,William,clerk,Southpoole,,1669,165
STUKLEY see STEWKLY,,,,,,
STYLES,Jonas,,Stokenham,,1664,86
SYDENHAM,Thomas,,Morebath,,1664,July
TAPPER,John,yeoman,Northbovie,Will,1662,121
,,,,Sentence,1663,45
,,,[North Bovey],,,
TAYLOR,"William,",bach,Dartmouth,,1666,16
,,,"H.M.S. ""Royal Charles""; died at sea",,,
TAYLOR,"William,",gent,Otery St Mary,,1668,37
TERRY,"Thomazine,",widow,Dartmouth,,1669,77
THOMAS,Ambrose,merchant,Plymouth,,1667,173
THOMAS,Rainborne,bonelaceseller,Honiton,,1670,66
THORN,Henry,,Bishops Nympton,,1668,146
TILLER,"Elizabeth,",widow,South Molton,,1670,42
TOOKER,Roger,yeoman,Tavistocke,,1665,20
TRESCOTT,Robert,fuller,St John the Arches [sic],,1669,110
,,,Exeter,,,
TREVILIAN,"Hugh,",esq,Yarnscombe,,1664,107
TREVILIAN,Mary,,Holcombe Regis,,---,---
,,,,,[NO year or folio recorded],
TREVILL,"Richard,",esq,Budshead,,1662,104
TREVILL,Richard,,Budshead,,1669,24
,,,[St Budeaux],,,
TRICKEY,Richard,thatcher,Cleyhidon,,1668,25
TRISTRAM,Richard,mariner,Dartmouth,,1670,95
,,,d. at sea,,,
TROTTLE,John,clerk,"Hawkchurch, Dorset",,1668,25
,,,,"(see P.A.B.; ""Fauchurch"", Register)",,
TROWTE,Walter,grocer,Plymouth,,1664,73
TUCKER,"Elizabeth,",widow,Exeter,Will,1664,74
,,,,Sentence,1664,35
